hypothesis,coin,feature,month,period,monthly_ic
H1_visibility,BTC,musk_max_views_8h_log,2024-02-29,val,-0.14262852464489212
H1_visibility,BTC,musk_max_views_8h_log,2024-03-31,val,-0.18772855268525698
H1_visibility,BTC,musk_max_views_8h_log,2024-04-30,val,0.07652981123850838
H1_visibility,BTC,musk_max_views_8h_log,2024-05-31,val,-0.01198765503706355
H1_visibility,BTC,musk_max_views_8h_log,2024-06-30,val,0.15163097468962014
H1_visibility,BTC,musk_max_views_8h_log,2024-07-31,val,0.016041666101716815
H1_visibility,BTC,musk_max_views_8h_log,2024-08-31,val,0.04223082497531448
H1_visibility,BTC,musk_max_views_8h_log,2024-09-30,val,-0.005293560170303496
H1_visibility,BTC,musk_max_views_8h_log,2025-01-31,holdout,0.32650042371503724
H1_visibility,BTC,musk_max_views_8h_log,2025-02-28,holdout,0.004983474869727058
H1_visibility,BTC,musk_max_views_8h_log,2025-03-31,holdout,0.08838431569430456
H1_visibility,BTC,musk_max_views_8h_log,2025-04-30,holdout,0.13342568451079792
H1_visibility,ETH,musk_max_views_8h_log,2024-02-29,val,-0.25578851615956544
H1_visibility,ETH,musk_max_views_8h_log,2024-03-31,val,-0.062108897706892895
H1_visibility,ETH,musk_max_views_8h_log,2024-04-30,val,0.09949163455040166
H1_visibility,ETH,musk_max_views_8h_log,2024-05-31,val,-0.01516860662915801
H1_visibility,ETH,musk_max_views_8h_log,2024-06-30,val,0.09207103165149914
H1_visibility,ETH,musk_max_views_8h_log,2024-07-31,val,0.05797384580980062
H1_visibility,ETH,musk_max_views_8h_log,2024-08-31,val,0.019567417167254585
H1_visibility,ETH,musk_max_views_8h_log,2024-09-30,val,-0.005515254033520126
H1_visibility,ETH,musk_max_views_8h_log,2025-01-31,holdout,0.29847585694519246
H1_visibility,ETH,musk_max_views_8h_log,2025-02-28,holdout,-0.00882883207054978
H1_visibility,ETH,musk_max_views_8h_log,2025-03-31,holdout,0.06791818852647766
H1_visibility,ETH,musk_max_views_8h_log,2025-04-30,holdout,0.12337627294067247
H1_visibility,SOL,musk_max_views_8h_log,2024-02-29,val,-0.06770508827179814
H1_visibility,SOL,musk_max_views_8h_log,2024-03-31,val,-0.07160523942602808
H1_visibility,SOL,musk_max_views_8h_log,2024-04-30,val,0.04103615196593988
H1_visibility,SOL,musk_max_views_8h_log,2024-05-31,val,-0.11225658341751935
H1_visibility,SOL,musk_max_views_8h_log,2024-06-30,val,0.1300512775044267
H1_visibility,SOL,musk_max_views_8h_log,2024-07-31,val,-0.021379146490783853
H1_visibility,SOL,musk_max_views_8h_log,2024-08-31,val,0.05369902244101999
H1_visibility,SOL,musk_max_views_8h_log,2024-09-30,val,0.06127404065130693
H1_visibility,SOL,musk_max_views_8h_log,2025-01-31,holdout,0.27636166107036714
H1_visibility,SOL,musk_max_views_8h_log,2025-02-28,holdout,-0.016740932281806765
H1_visibility,SOL,musk_max_views_8h_log,2025-03-31,holdout,0.086634808440118
H1_visibility,SOL,musk_max_views_8h_log,2025-04-30,holdout,0.07233853814293091
H1_visibility,DOGE,musk_max_views_8h_log,2024-02-29,val,-0.2475638044763796
H1_visibility,DOGE,musk_max_views_8h_log,2024-03-31,val,-0.2782502394707783
H1_visibility,DOGE,musk_max_views_8h_log,2024-04-30,val,0.10942395576047964
H1_visibility,DOGE,musk_max_views_8h_log,2024-05-31,val,-0.06444160955997752
H1_visibility,DOGE,musk_max_views_8h_log,2024-06-30,val,0.09868464770803609
H1_visibility,DOGE,musk_max_views_8h_log,2024-07-31,val,0.0428318084752046
H1_visibility,DOGE,musk_max_views_8h_log,2024-08-31,val,0.04914291544215555
H1_visibility,DOGE,musk_max_views_8h_log,2024-09-30,val,0.06884468895154867
H1_visibility,DOGE,musk_max_views_8h_log,2025-01-31,holdout,0.3816299519765735
H1_visibility,DOGE,musk_max_views_8h_log,2025-02-28,holdout,0.004428764383039154
H1_visibility,DOGE,musk_max_views_8h_log,2025-03-31,holdout,0.04933149407442127
H1_visibility,DOGE,musk_max_views_8h_log,2025-04-30,holdout,0.17418692968851215
H2_engagement_quality,BTC,musk_weighted_engagement_4h_log,2024-02-29,val,0.050222383346900434
H2_engagement_quality,BTC,musk_weighted_engagement_4h_log,2024-03-31,val,-0.08398321260585134
H2_engagement_quality,BTC,musk_weighted_engagement_4h_log,2024-04-30,val,0.05786450337057979
H2_engagement_quality,BTC,musk_weighted_engagement_4h_log,2024-05-31,val,-0.026395372693182415
H2_engagement_quality,BTC,musk_weighted_engagement_4h_log,2024-06-30,val,0.05351934255072807
H2_engagement_quality,BTC,musk_weighted_engagement_4h_log,2024-07-31,val,0.013148625393538275
H2_engagement_quality,BTC,musk_weighted_engagement_4h_log,2024-08-31,val,0.11444286877408895
H2_engagement_quality,BTC,musk_weighted_engagement_4h_log,2024-09-30,val,0.09741999339897177
H2_engagement_quality,BTC,musk_weighted_engagement_4h_log,2025-01-31,holdout,0.20681676920138994
H2_engagement_quality,BTC,musk_weighted_engagement_4h_log,2025-02-28,holdout,0.00027810084938939756
H2_engagement_quality,BTC,musk_weighted_engagement_4h_log,2025-03-31,holdout,0.06275734167688524
H2_engagement_quality,BTC,musk_weighted_engagement_4h_log,2025-04-30,holdout,-0.10562595181653262
H2_engagement_quality,ETH,musk_weighted_engagement_4h_log,2024-02-29,val,0.0005008164296339018
H2_engagement_quality,ETH,musk_weighted_engagement_4h_log,2024-03-31,val,0.0077437588101732565
