hypothesis,coin,feature,month,period,monthly_ic
H1_visibility,BTC,musk_max_views_8h_log,2023-01-31,train,0.048641675612919884
H1_visibility,BTC,musk_max_views_8h_log,2023-02-28,train,-0.004840936213704712
H1_visibility,BTC,musk_max_views_8h_log,2023-03-31,train,0.008519752982204077
H1_visibility,BTC,musk_max_views_8h_log,2023-04-30,train,0.029954536541367753
H1_visibility,BTC,musk_max_views_8h_log,2023-05-31,train,-0.011304383626767882
H1_visibility,BTC,musk_max_views_8h_log,2023-06-30,train,0.019250449099161026
H1_visibility,BTC,musk_max_views_8h_log,2023-07-31,train,0.014559159438577766
H1_visibility,BTC,musk_max_views_8h_log,2023-08-31,train,-0.0726292440015668
H1_visibility,BTC,musk_max_views_8h_log,2023-09-30,train,0.14950238340952732
H1_visibility,BTC,musk_max_views_8h_log,2023-10-31,train,-0.021416855442507775
H1_visibility,BTC,musk_max_views_8h_log,2023-11-30,train,-0.05212391265681346
H1_visibility,BTC,musk_max_views_8h_log,2023-12-31,train,0.02562012133100155
H1_visibility,BTC,musk_max_views_8h_log,2024-01-31,train,-0.20368869432728062
H1_visibility,BTC,musk_max_views_8h_log,2024-02-29,train,-0.17730731592403762
H1_visibility,BTC,musk_max_views_8h_log,2024-02-29,val,-0.14262852464489212
H1_visibility,BTC,musk_max_views_8h_log,2024-03-31,val,-0.18772855268525698
H1_visibility,BTC,musk_max_views_8h_log,2024-04-30,val,0.07652981123850838
H1_visibility,BTC,musk_max_views_8h_log,2024-05-31,val,-0.01198765503706355
H1_visibility,BTC,musk_max_views_8h_log,2024-06-30,val,0.15163097468962014
H1_visibility,BTC,musk_max_views_8h_log,2024-07-31,val,0.016041666101716815
H1_visibility,BTC,musk_max_views_8h_log,2024-08-31,val,0.04223082497531448
H1_visibility,BTC,musk_max_views_8h_log,2024-09-30,val,-0.005293560170303496
H1_visibility,BTC,musk_max_views_8h_log,2024-09-30,test,-0.04890478823004579
H1_visibility,BTC,musk_max_views_8h_log,2024-10-31,test,-0.002802729847633193
H1_visibility,BTC,musk_max_views_8h_log,2024-11-30,test,-0.06292441154539917
H1_visibility,BTC,musk_max_views_8h_log,2024-12-31,test,0.04345793287264189
H1_visibility,BTC,musk_max_views_8h_log,2025-01-31,test,0.10135469308904976
H1_visibility,BTC,musk_max_views_8h_log,2025-01-31,holdout,0.32650042371503724
