hypothesis,coin,feature,date,period,rolling_ic
H1_visibility,BTC,musk_max_views_8h_log,2023-01-04 00:00:00,train,0.08047557110309912
H1_visibility,BTC,musk_max_views_8h_log,2023-01-05 00:00:00,train,0.14142273911625816
H1_visibility,BTC,musk_max_views_8h_log,2023-01-06 00:00:00,train,0.09282375717514417
H1_visibility,BTC,musk_max_views_8h_log,2023-01-07 00:00:00,train,-0.05036121152153097
H1_visibility,BTC,musk_max_views_8h_log,2023-01-08 00:00:00,train,-0.034698151629496465
H1_visibility,BTC,musk_max_views_8h_log,2023-01-09 00:00:00,train,-0.04174509213807738
H1_visibility,BTC,musk_max_views_8h_log,2023-01-10 00:00:00,train,0.04955377351783876
H1_visibility,BTC,musk_max_views_8h_log,2023-01-11 00:00:00,train,0.016935686890026832
H1_visibility,BTC,musk_max_views_8h_log,2023-01-12 00:00:00,train,0.14948880453066185
H1_visibility,BTC,musk_max_views_8h_log,2023-01-13 00:00:00,train,0.10331952753147272
H1_visibility,BTC,musk_max_views_8h_log,2023-01-14 00:00:00,train,0.07485151175935459
H1_visibility,BTC,musk_max_views_8h_log,2023-01-15 00:00:00,train,0.09420516370676611
H1_visibility,BTC,musk_max_views_8h_log,2023-01-16 00:00:00,train,0.07117216663743312
H1_visibility,BTC,musk_max_views_8h_log,2023-01-17 00:00:00,train,0.06824759052935346
H1_visibility,BTC,musk_max_views_8h_log,2023-01-18 00:00:00,train,0.03841535070536757
H1_visibility,BTC,musk_max_views_8h_log,2023-01-19 00:00:00,train,0.053473260023999936
H1_visibility,BTC,musk_max_views_8h_log,2023-01-20 00:00:00,train,0.022812809895097534
H1_visibility,BTC,musk_max_views_8h_log,2023-01-21 00:00:00,train,0.06927154117814707
H1_visibility,BTC,musk_max_views_8h_log,2023-01-22 00:00:00,train,0.10083861495791195
H1_visibility,BTC,musk_max_views_8h_log,2023-01-23 00:00:00,train,0.056385088016244284
H1_visibility,BTC,musk_max_views_8h_log,2023-01-24 00:00:00,train,0.07347108315728443
H1_visibility,BTC,musk_max_views_8h_log,2023-01-25 00:00:00,train,0.0933408756790219
H1_visibility,BTC,musk_max_views_8h_log,2023-01-26 00:00:00,train,0.08522744544994594
H1_visibility,BTC,musk_max_views_8h_log,2023-01-27 00:00:00,train,0.0533094338897397
H1_visibility,BTC,musk_max_views_8h_log,2023-01-28 00:00:00,train,0.05213352745428192
H1_visibility,BTC,musk_max_views_8h_log,2023-01-29 00:00:00,train,0.05147086998713676
H1_visibility,BTC,musk_max_views_8h_log,2023-01-30 00:00:00,train,0.0674934118549414
H1_visibility,BTC,musk_max_views_8h_log,2023-01-31 00:00:00,train,0.05701491422002047
H1_visibility,BTC,musk_max_views_8h_log,2023-02-01 00:00:00,train,0.04616576980678813
H1_visibility,BTC,musk_max_views_8h_log,2023-02-02 00:00:00,train,0.029492967574817345
H1_visibility,BTC,musk_max_views_8h_log,2023-02-03 00:00:00,train,0.03813608101148188
H1_visibility,BTC,musk_max_views_8h_log,2023-02-04 00:00:00,train,0.031020111512202648
H1_visibility,BTC,musk_max_views_8h_log,2023-02-05 00:00:00,train,0.016447763201316797
H1_visibility,BTC,musk_max_views_8h_log,2023-02-06 00:00:00,train,0.025730040217441637
H1_visibility,BTC,musk_max_views_8h_log,2023-02-07 00:00:00,train,0.02010902734130585
H1_visibility,BTC,musk_max_views_8h_log,2023-02-08 00:00:00,train,0.021683631649294
H1_visibility,BTC,musk_max_views_8h_log,2023-02-09 00:00:00,train,0.023975348736362943
H1_visibility,BTC,musk_max_views_8h_log,2023-02-10 00:00:00,train,0.05418355171951612
H1_visibility,BTC,musk_max_views_8h_log,2023-02-11 00:00:00,train,0.04465137170741955
H1_visibility,BTC,musk_max_views_8h_log,2023-02-12 00:00:00,train,0.0625824347433998
H1_visibility,BTC,musk_max_views_8h_log,2023-02-13 00:00:00,train,0.10298194010947812
H1_visibility,BTC,musk_max_views_8h_log,2023-02-14 00:00:00,train,0.06620391944561071
H1_visibility,BTC,musk_max_views_8h_log,2023-02-15 00:00:00,train,0.0748020431051969
H1_visibility,BTC,musk_max_views_8h_log,2023-02-16 00:00:00,train,0.09384069518882847
H1_visibility,BTC,musk_max_views_8h_log,2023-02-17 00:00:00,train,0.10560331214671999
H1_visibility,BTC,musk_max_views_8h_log,2023-02-18 00:00:00,train,0.0775229319272898
H1_visibility,BTC,musk_max_views_8h_log,2023-02-19 00:00:00,train,0.08578730965851435
H1_visibility,BTC,musk_max_views_8h_log,2023-02-20 00:00:00,train,0.07425153824359874
H1_visibility,BTC,musk_max_views_8h_log,2023-02-21 00:00:00,train,0.04329418130297728
H1_visibility,BTC,musk_max_views_8h_log,2023-02-22 00:00:00,train,0.046822182231038255
H1_visibility,BTC,musk_max_views_8h_log,2023-02-23 00:00:00,train,0.02667420653285402
H1_visibility,BTC,musk_max_views_8h_log,2023-02-24 00:00:00,train,-0.009435759832308516
H1_visibility,BTC,musk_max_views_8h_log,2023-02-25 00:00:00,train,0.02407074541343607
H1_visibility,BTC,musk_max_views_8h_log,2023-02-26 00:00:00,train,0.006947039349857601
H1_visibility,BTC,musk_max_views_8h_log,2023-02-27 00:00:00,train,-0.010528972109270012
H1_visibility,BTC,musk_max_views_8h_log,2023-02-28 00:00:00,train,-0.007392675651374519
H1_visibility,BTC,musk_max_views_8h_log,2023-03-01 00:00:00,train,-0.004589107847412837
H1_visibility,BTC,musk_max_views_8h_log,2023-03-02 00:00:00,train,-0.006675298258485734
H1_visibility,BTC,musk_max_views_8h_log,2023-03-03 00:00:00,train,0.024880094697436603
H1_visibility,BTC,musk_max_views_8h_log,2023-03-04 00:00:00,train,0.018226717598821177
H1_visibility,BTC,musk_max_views_8h_log,2023-03-05 00:00:00,train,0.03363733849462215
H1_visibility,BTC,musk_max_views_8h_log,2023-03-06 00:00:00,train,0.02513237843350416
H1_visibility,BTC,musk_max_views_8h_log,2023-03-07 00:00:00,train,0.03157407018329232
