hypothesis,coin,feature,period,decile,avg_return,count
H1_visibility,BTC,musk_max_views_8h_log,val,1,8.956724489768428,2002
H1_visibility,BTC,musk_max_views_8h_log,val,2,1.694570159238811,500
H1_visibility,BTC,musk_max_views_8h_log,val,3,-19.34894616508596,502
H1_visibility,BTC,musk_max_views_8h_log,val,4,8.529363880096064,502
H1_visibility,BTC,musk_max_views_8h_log,val,5,-3.275390207593764,498
H1_visibility,BTC,musk_max_views_8h_log,val,6,2.631587829041239,504
H1_visibility,BTC,musk_max_views_8h_log,val,7,9.734416582624226,494
H1_visibility,BTC,musk_max_views_8h_log,holdout,1,-33.013739106254796,403
H1_visibility,BTC,musk_max_views_8h_log,holdout,2,-23.889390791637293,200
H1_visibility,BTC,musk_max_views_8h_log,holdout,3,-19.511261105499294,201
H1_visibility,BTC,musk_max_views_8h_log,holdout,4,3.463102017067293,201
H1_visibility,BTC,musk_max_views_8h_log,holdout,5,-6.536111378042246,197
H1_visibility,BTC,musk_max_views_8h_log,holdout,6,-37.76185601681588,203
H1_visibility,BTC,musk_max_views_8h_log,holdout,7,20.495949129657323,203
H1_visibility,BTC,musk_max_views_8h_log,holdout,8,13.978589832479864,193
H1_visibility,BTC,musk_max_views_8h_log,holdout,9,34.118558445044464,200
H1_visibility,ETH,musk_max_views_8h_log,val,1,0.6978114120541962,2002
H1_visibility,ETH,musk_max_views_8h_log,val,2,-19.280382802410113,500
H1_visibility,ETH,musk_max_views_8h_log,val,3,-22.824086854819747,502
H1_visibility,ETH,musk_max_views_8h_log,val,4,14.614932705889407,502
H1_visibility,ETH,musk_max_views_8h_log,val,5,-8.735309742430836,498
H1_visibility,ETH,musk_max_views_8h_log,val,6,1.2654969256219968,504
H1_visibility,ETH,musk_max_views_8h_log,val,7,15.393617468332089,494
H1_visibility,ETH,musk_max_views_8h_log,holdout,1,-33.750703493895415,403
H1_visibility,ETH,musk_max_views_8h_log,holdout,2,-42.4481944186266,200
H1_visibility,ETH,musk_max_views_8h_log,holdout,3,-55.150090556209015,201
H1_visibility,ETH,musk_max_views_8h_log,holdout,4,-17.464700719994145,201
H1_visibility,ETH,musk_max_views_8h_log,holdout,5,-57.82803965006488,197
H1_visibility,ETH,musk_max_views_8h_log,holdout,6,-55.01109323895856,203
H1_visibility,ETH,musk_max_views_8h_log,holdout,7,5.502889079679707,203
H1_visibility,ETH,musk_max_views_8h_log,holdout,8,-7.496108605519928,193
H1_visibility,ETH,musk_max_views_8h_log,holdout,9,42.42673333158732,200
H1_visibility,SOL,musk_max_views_8h_log,val,1,18.488329241501418,2002
H1_visibility,SOL,musk_max_views_8h_log,val,2,-2.23129553204803,500
H1_visibility,SOL,musk_max_views_8h_log,val,3,-2.9512654823719773,502
H1_visibility,SOL,musk_max_views_8h_log,val,4,-0.2941704062338617,502
H1_visibility,SOL,musk_max_views_8h_log,val,5,-2.8017939062328674,498
H1_visibility,SOL,musk_max_views_8h_log,val,6,-8.950173517090363,504
H1_visibility,SOL,musk_max_views_8h_log,val,7,19.502419486309357,494
H1_visibility,SOL,musk_max_views_8h_log,holdout,1,-51.58958755504733,403
H1_visibility,SOL,musk_max_views_8h_log,holdout,2,-19.492493900270407,200
H1_visibility,SOL,musk_max_views_8h_log,holdout,3,-53.64681363727439,201
H1_visibility,SOL,musk_max_views_8h_log,holdout,4,-14.175548549098844,201
H1_visibility,SOL,musk_max_views_8h_log,holdout,5,-38.52551325405065,197
H1_visibility,SOL,musk_max_views_8h_log,holdout,6,-67.32684601062908,203
H1_visibility,SOL,musk_max_views_8h_log,holdout,7,22.454096403045614,203
H1_visibility,SOL,musk_max_views_8h_log,holdout,8,31.26818868971409,193
H1_visibility,SOL,musk_max_views_8h_log,holdout,9,24.783030702119706,200
H1_visibility,DOGE,musk_max_views_8h_log,val,1,33.60126178907986,2002
H1_visibility,DOGE,musk_max_views_8h_log,val,2,-20.629105193349595,500
H1_visibility,DOGE,musk_max_views_8h_log,val,3,-16.31032252469585,502
H1_visibility,DOGE,musk_max_views_8h_log,val,4,-9.601766810780276,502
H1_visibility,DOGE,musk_max_views_8h_log,val,5,1.48124458983029,498
H1_visibility,DOGE,musk_max_views_8h_log,val,6,-5.796071851716811,504
H1_visibility,DOGE,musk_max_views_8h_log,val,7,-2.5861678562144785,494
H1_visibility,DOGE,musk_max_views_8h_log,holdout,1,-74.10572133963869,403
H1_visibility,DOGE,musk_max_views_8h_log,holdout,2,-61.91131346613179,200
H1_visibility,DOGE,musk_max_views_8h_log,holdout,3,-56.13146592584701,201
H1_visibility,DOGE,musk_max_views_8h_log,holdout,4,13.650057950426561,201
H1_visibility,DOGE,musk_max_views_8h_log,holdout,5,-30.340874282065826,197
H1_visibility,DOGE,musk_max_views_8h_log,holdout,6,-79.46728280355946,203
H1_visibility,DOGE,musk_max_views_8h_log,holdout,7,64.97478652333028,203
H1_visibility,DOGE,musk_max_views_8h_log,holdout,8,-3.9823816286317384,193
H1_visibility,DOGE,musk_max_views_8h_log,holdout,9,26.71208473129974,200
H2_engagement_quality,BTC,musk_weighted_engagement_4h_log,val,1,-0.17305650479004933,3501
H2_engagement_quality,BTC,musk_weighted_engagement_4h_log,val,2,5.107575518025826,500
H2_engagement_quality,BTC,musk_weighted_engagement_4h_log,val,3,6.753477137375097,500
H2_engagement_quality,BTC,musk_weighted_engagement_4h_log,val,4,6.6856155791877265,501
H2_engagement_quality,BTC,musk_weighted_engagement_4h_log,holdout,1,-9.019834049584315,801
H2_engagement_quality,BTC,musk_weighted_engagement_4h_log,holdout,2,12.294212696639212,200
H2_engagement_quality,BTC,musk_weighted_engagement_4h_log,holdout,3,-9.688064615846582,200
H2_engagement_quality,BTC,musk_weighted_engagement_4h_log,holdout,4,-3.8432962624251443,200
H2_engagement_quality,BTC,musk_weighted_engagement_4h_log,holdout,5,-10.74883436246421,200
H2_engagement_quality,BTC,musk_weighted_engagement_4h_log,holdout,6,3.637835545737256,200
H2_engagement_quality,BTC,musk_weighted_engagement_4h_log,holdout,7,2.090809175722491,200
H2_engagement_quality,ETH,musk_weighted_engagement_4h_log,val,1,-6.19823510934916,3501
H2_engagement_quality,ETH,musk_weighted_engagement_4h_log,val,2,10.59421205247799,500
H2_engagement_quality,ETH,musk_weighted_engagement_4h_log,val,3,5.520172535327692,500
H2_engagement_quality,ETH,musk_weighted_engagement_4h_log,val,4,18.21155306890884,501
H2_engagement_quality,ETH,musk_weighted_engagement_4h_log,holdout,1,-13.918492286052327,801
H2_engagement_quality,ETH,musk_weighted_engagement_4h_log,holdout,2,5.058792174939958,200
H2_engagement_quality,ETH,musk_weighted_engagement_4h_log,holdout,3,-29.120491662058548,200
H2_engagement_quality,ETH,musk_weighted_engagement_4h_log,holdout,4,-16.403722882430355,200
H2_engagement_quality,ETH,musk_weighted_engagement_4h_log,holdout,5,-33.60221445399171,200
H2_engagement_quality,ETH,musk_weighted_engagement_4h_log,holdout,6,-8.39084158426815,200
H2_engagement_quality,ETH,musk_weighted_engagement_4h_log,holdout,7,9.36175574589837,200
H2_engagement_quality,SOL,musk_weighted_engagement_4h_log,val,1,3.002960127188619,3501
H2_engagement_quality,SOL,musk_weighted_engagement_4h_log,val,2,13.397429128439349,500
H2_engagement_quality,SOL,musk_weighted_engagement_4h_log,val,3,7.124107766966638,500
H2_engagement_quality,SOL,musk_weighted_engagement_4h_log,val,4,-2.8499494155930694,501
H2_engagement_quality,SOL,musk_weighted_engagement_4h_log,holdout,1,-15.871999654031443,801
H2_engagement_quality,SOL,musk_weighted_engagement_4h_log,holdout,2,16.765188236123397,200
H2_engagement_quality,SOL,musk_weighted_engagement_4h_log,holdout,3,-20.913607904985405,200
H2_engagement_quality,SOL,musk_weighted_engagement_4h_log,holdout,4,-21.217873587744666,200
H2_engagement_quality,SOL,musk_weighted_engagement_4h_log,holdout,5,-26.8566130209254,200
H2_engagement_quality,SOL,musk_weighted_engagement_4h_log,holdout,6,5.919297349958763,200
H2_engagement_quality,SOL,musk_weighted_engagement_4h_log,holdout,7,-2.991956235875409,200
H2_engagement_quality,DOGE,musk_weighted_engagement_4h_log,val,1,2.2122909800446484,3501
H2_engagement_quality,DOGE,musk_weighted_engagement_4h_log,val,2,8.487049059844882,500
H2_engagement_quality,DOGE,musk_weighted_engagement_4h_log,val,3,17.28639743014852,500
H2_engagement_quality,DOGE,musk_weighted_engagement_4h_log,val,4,0.3348041155980067,501
H2_engagement_quality,DOGE,musk_weighted_engagement_4h_log,holdout,1,-16.14858768053568,801
H2_engagement_quality,DOGE,musk_weighted_engagement_4h_log,holdout,2,-1.7212769993962318,200
